"","variables","factor","loading"
"200","crpbi_caregiver16_y","4",0.0545481616838836
"201","fes_youth_q1","4",0.056440602196897
"202","fes_youth_q2","4",0.0167979747744559
"203","fes_youth_q3","4",0.0476875450071243
"204","fes_youth_q4","4",0.0159827111939639
"205","fes_youth_q5","4",0.0323200554666207
"206","fes_youth_q6","4",0.021431673795378
"207","fes_youth_q7","4",-0.000566031350116081
"208","fes_youth_q8","4",0.019356822796994
"209","fes_youth_q9","4",0.00258523992043007
"210","fam_enviro1_p","4",0.291029444332989
"211","fam_enviro2r_p","4",-0.0128522115436077
"212","fam_enviro3_p","4",0.24922354401161
"213","fam_enviro4r_p","4",0.0481925239591295
"214","fam_enviro5_p","4",0.212878566468377
"215","fam_enviro6_p","4",0.161443668030858
"216","fam_enviro7r_p","4",0.00489355755856124
"217","fam_enviro8_p","4",0.182912157001608
"218","fam_enviro9r_p","4",0.0866842763790381
"219","ksads_ptsd_raw_754_p","4",0.0640812465498741
"220","ksads_ptsd_raw_755_p","4",0.0985593603916371
"221","ksads_ptsd_raw_756_p","4",0.113690453783243
"222","ksads_ptsd_raw_757_p","4",0.0426682336742438
"223","ksads_ptsd_raw_766_p","4",0.173551392613218
"224","ksads_ptsd_raw_770_p","4",0.127995719052764
"225","parent_monitor_q1_y","4",0.042614822593641
"226","parent_monitor_q2_y","4",0.0418279562370749
"227","parent_monitor_q3_y","4",-0.00629485394123205
"228","parent_monitor_q4_y","4",-0.0460672795844865
"229","parent_monitor_q5_y","4",0.0649688476964197
"230","nsc_p_ss_mean_3_items","4",0.112124090789951
"231","neighborhood_crime_y","4",0.0496969611304218
"232","reshist_addr1_adi_wsum","4",0.0755188234397231
"233","demo_prim_biosep","4",-0.0438520607393405
"234","demo_parent_sep","4",-0.00850969580071025
"235","ksads_ptsd_raw_758_759_760","4",0.0147080512342972
"236","ksads_ptsd_raw_761_to_765","4",0.0244105820433897
"237","ksads_ptsd_raw_767_768_769","4",0.193514253576965
"238","demo_fam_exp1_5_v2","4",0.289690764149259
"239","demo_fam_exp6_7_v2","4",0.413080184242162
"240","famhx_ss_moth_prob_alc_dg","4",0.173145034004779
"241","famhx_ss_fath_prob_alc_p","5",0.112624380632205
"242","famhx_ss_fath_prob_dg_p","5",0.117408888254043
"243","asr_scr_anxdisord_r","5",0.144694523150685
"244","asr_scr_somaticpr_r","5",0.0961420947517353
"245","asr_scr_depress_r","5",0.159563668222549
"246","asr_scr_avoidant_r","5",0.128318444187345
"247","asr_scr_adhd_r","5",0.246870153450726
"248","asr_scr_antisocial_r","5",0.379624890637832
"249","demo_prnt_ed_v2","5",0.00870018077950501
